dbn,school_name,cte_designated_high_school,program_cip_code,program_name,industry_cluster,number_of_industry_partners,is_nysed_approved,grade_levels_served,enrolled_student_counts,number_of_staff_attending,Year
21K620,William E. Grady Career and Technical Education Hi,True,470604,Automobile/Automotive Mechanics Technology/Technician,"Transportation, Distribution and Logistics Cluster",5,Approved,"9,10,11,12",49,2,2019-2020
21K620,William E. Grady Career and Technical Education Hi,True,511614,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science Cluster,4,Approved,"9,10,11,12",44,2,2019-2020
21K690,Brooklyn Studio Secondary School,False,500102,Digital Arts,"Arts, Audio/Video Technology and Communications Cluster",3,Approved,"9,10,11,12",304,2,2019-2020
22K405,Midwood High School,False,090199,"Communications and Media Studies, Other","Arts, Audio/Video Technology and Communications Cluster",5,Approved,"9,10,11,12",393,1,2019-2020
22K405,Midwood High School,False,151302,CAD/CADD Drafting and/or Design Technology/Technician,Manufacturing Production Cluster,2,Approved,"9,10,11,12",456,1,2019-2020
22K405,Midwood High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,8,Non-Approved,"9,10,11,12",447,1,2019-2020
22K425,James Madison High School,False,110103,Information Technology,Information Technology Cluster,4,Non-Approved,"9,10,11,12",473,1,2019-2020
22K425,James Madison High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,8,Non-Approved,"10,11,12",442,1,2019-2020
22K425,James Madison High School,False,520899,"Finance and Financial Management Services, Other",Finance Cluster,3,Non-Approved,"10,11,12",74,1,2019-2020
24Q264,Academy of Finance and Enterprise,False,520304,Accounting and Finance,Business Management and Administration Cluster,3,Approved,"9,10,11,12",336,4,2019-2020
24Q264,Academy of Finance and Enterprise,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,3,Approved,"9,10,11,12",320,4,2019-2020
24Q455,Newtown High School,False,151303,Architectural Drafting and Architectural CAD/CADD,Manufacturing Production Cluster,2,Approved,"9,10,11,12",423,2,2019-2020
